,timestamp,open,high,low,close,volume,datetime,date
417,1689897600000,32336.859375,32462.439453125,32080.94921875,32304.25,79400000,2023-07-21 00:00:00,2023-07-21
416,1689811200000,32803.3515625,32861.01953125,32462.859375,32490.51953125,75600000,2023-07-20 00:00:00,2023-07-20
415,1689724800000,32812.359375,32896.03125,32671.029296875,32896.03125,81900000,2023-07-19 00:00:00,2023-07-19
414,1689638400000,32457.1796875,32714.58984375,32338.30078125,32493.890625,81100000,2023-07-18 00:00:00,2023-07-18
413,1689292800000,32587.900390625,32780.62890625,32225.369140625,32391.259765625,90300000,2023-07-14 00:00:00,2023-07-14
412,1689206400000,32106.05078125,32484.400390625,31952.98046875,32419.330078125,77800000,2023-07-13 00:00:00,2023-07-13
411,1689120000000,32280.05078125,32312.029296875,31791.7109375,31943.9296875,88400000,2023-07-12 00:00:00,2023-07-12
410,1689033600000,32434.669921875,32468.69921875,32084.419921875,32203.5703125,87200000,2023-07-11 00:00:00,2023-07-11
409,1688947200000,32393.4609375,32558.98046875,32065.630859375,32189.73046875,101200000,2023-07-10 00:00:00,2023-07-10
408,1688688000000,32450.640625,32730.25,32327.900390625,32388.419921875,105100000,2023-07-07 00:00:00,2023-07-07
407,1688601600000,33058.3984375,33079.44921875,32637.720703125,32773.01953125,100600000,2023-07-06 00:00:00,2023-07-06
406,1688515200000,33165.05859375,33389.21875,33041.140625,33338.69921875,95100000,2023-07-05 00:00:00,2023-07-05
405,1688428800000,33512.26171875,33576.44921875,33338.78125,33422.51953125,99400000,2023-07-04 00:00:00,2023-07-04
404,1688342400000,33517.6015625,33762.80859375,33510.55078125,33753.328125,95400000,2023-07-03 00:00:00,2023-07-03
403,1688083200000,33068.359375,33232.890625,32918.76953125,33189.0390625,111300000,2023-06-30 00:00:00,2023-06-30
402,1687996800000,33306.83984375,33527.98046875,33185.19921875,33234.140625,117900000,2023-06-29 00:00:00,2023-06-29
401,1687910400000,32807.83984375,33193.98828125,32642.869140625,33193.98828125,91100000,2023-06-28 00:00:00,2023-06-28
400,1687824000000,32629.9609375,32689.099609375,32306.990234375,32538.330078125,79600000,2023-06-27 00:00:00,2023-06-27
399,1687737600000,32647.080078125,32884.73046875,32392.720703125,32698.810546875,74100000,2023-06-26 00:00:00,2023-06-26
398,1687478400000,33458.3515625,33533.46875,32575.560546875,32781.5390625,103600000,2023-06-23 00:00:00,2023-06-23
397,1687392000000,33438.01171875,33641.4609375,33232.19140625,33264.87890625,94700000,2023-06-22 00:00:00,2023-06-22
